""	"protein"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"significant"	"mean_mouse"	"mean_naked mole rat"	"ngood_mouse"	"ngood_naked mole rat"
"41"	"A2A5Z6"	NA	26.0216505371652	NA	NA	NA	NA	NA	NA	26.0216505371652	0	3
"42"	"A2A5Z6;Q9CUN6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"43"	"A2A654"	5.18932320224341	26.2814308796661	7.45757052763031	0.00103789988688239	0.0100261129072839	-0.0231271491093921	TRUE	23.6867692785444	28.8760924807878	2	2
"44"	"A2A699"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"45"	"A2A6A1"	-0.0371208893191058	25.2604622567499	-0.0561813125351968	0.95717002265242	0.975459172012574	-6.85868584411199	FALSE	25.2827347903413	25.2456139010222	2	3
"46"	"A2A6P4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"47"	"A2A6Q5"	-0.33570356347229	23.8690346835935	-0.879653261619841	0.415602617176979	0.545114008141613	-6.4378824718206	FALSE	24.0704568216769	23.7347532582046	2	3
"48"	"A2A6T1"	0.867767537887222	24.9073393501649	2.51348032394749	0.042522578524813	0.109570627651074	-4.45413634300293	FALSE	24.4734555812213	25.3412231191085	3	3
"49"	"A2A791"	-1.26289920763475	22.2332776586085	-2.03446186212282	0.120843262771639	0.226233138503512	-4.86381152760703	FALSE	22.6542440611534	21.3913448535187	2	1
"50"	"A2A8U2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"51"	"A2A8Z1"	0.106385387845208	24.6556429997012	0.206261742964732	0.84286448082596	0.901558045804737	-6.94678604715277	FALSE	24.6024503057786	24.7088356936238	3	3
"52"	"A2AAY5"	-1.29163973647872	26.7417978375147	-3.55862391774459	0.0103565187461767	0.0423516340448073	-2.97347768355085	TRUE	27.3876177057541	26.0959779692753	3	3
"53"	"A2ADY9"	-0.166940840283673	26.2375795900852	-0.626759125227367	0.552073625835588	0.669231470024345	-6.75305228408884	FALSE	26.321050010227	26.1541091699433	3	3
"54"	"A2AF47"	0.586365690198262	24.8967711311987	1.3715360517537	0.223205749816943	0.351294494733618	-5.91651692260126	FALSE	24.5449517170798	25.131317407278	2	3
"55"	"A2AGH6"	-1.74972201813012	23.9205308995976	-2.61059649488024	0.0432284096447848	0.110667783701931	-4.28117902201664	FALSE	24.9703641104757	23.2206420923455	2	3
"56"	"A2AGT5"	-0.860576333275904	27.0061373231082	-3.14273530376243	0.0178557900734575	0.0604510276085046	-3.55071145490569	FALSE	27.4364254897461	26.5758491564702	3	3
"57"	"A2AHC3"	1.44404949416476	25.3431090007988	1.53050151387625	0.19232458224285	0.316191331629395	-5.50067551888918	FALSE	24.9820966272576	26.4261461214223	3	1
"58"	"A2AHM8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"59"	"A2AIR5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"60"	"A2AIV2"	-1.86753558824403	24.643184609886	-1.97478556511604	0.0997400761446974	0.198158186015082	-5.14264984316195	FALSE	25.7637059628324	23.8961703745884	2	3
"61"	"A2AIX1"	-0.782471897133982	26.4964916200748	-1.41157170892918	0.203874158640784	0.33030538978249	-5.97829168798992	FALSE	26.8877275686418	26.1052556715078	3	3
